"id","player","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","points_vor","rank","floor_vor","floor_rank","ceiling_vor","ceiling_rank"
"12140","Jameis Winston","NOS","QB",26,5,"QB","weighted",38.0960346659755,38,3.6495837238314,52.0100103225795,6.8,98.8100917431192,10,-225.430132093971,639,-236.973333333333,628,-197.735163790426,639
"12141","Marcus Mariota","LVR","QB",27,5,"QB","weighted",42.1075206591935,37,4.40968281884426,27.0006732517499,11.34,70.6829090909091,10,-221.418646100753,638,-232.433333333333,613,-225.862346442636,640
"12142","Brett Hundley","ARI","QB",27,5,"QB","weighted",13.7129955290611,52,1.22860300404514,3.18198051533946,11.52,15.5583027522936,11,-249.813171230886,653,-232.253333333333,612,-280.986952781252,658
"12145","Sean Mannion","MIN","QB",28,5,"QB","weighted",5.82562039741679,69,0.945861293023916,7.60294580035264,-2.077,12.0383113456464,12,-257.70054636253,670,-245.850333333333,656,-284.506944187899,665
"12150","Todd Gurley","ATL","RB",26,5,"RB","weighted",199.30081824857,14,4.36254413287432,31.7952585782863,166.1,246.603257089069,3,83.6114615050219,16,66.1243333333333,23,106.334989333741,15
"12151","Melvin Gordon","DEN","RB",27,5,"RB","weighted",178.0095839735,19,4.25059410263088,43.0937484696549,151.9,242.763654269979,4,62.3202272299526,25,51.9243333333333,31,102.495386514651,17
"12152","Tevin Coleman","SFO","RB",27,5,"RB","weighted",115.194363990548,36,2.81503163777595,12.9134980938791,103.835,133.822658912105,7,-0.494992753000176,107,3.85933333333332,93,-6.44560884322277,132
"12153","T.J. Yeldon","BUF","RB",27,5,"RB","weighted",31.6220176730486,95,2.33247175468125,26.3343976471613,7,57.1355351681957,11,-84.0673390704992,402,-92.9756666666667,462,-83.1327325871324,373
"12155","Ameer Abdullah","MIN","RB",27,5,"RB","weighted",11.4603389830508,122,0.5057199354318,7.47411867714181,6.73,16.2510810397554,12,-104.229017760497,490,-93.2456666666667,463,-124.017186715573,511
"12157","Duke Johnson","HOU","RB",27,5,"RB","weighted",96.8745266016933,43,5.59863200247641,13.9347380232675,76.649,111.968486238532,8,-18.8148301418545,175,-23.3266666666667,184,-28.299781516796,215
"12164","Mike Davis","CAR","RB",27,5,"RB","weighted",33.57794606414,93,1.7092455933744,31.7065483487858,1.011,68.8666279069767,11,-82.1114106794079,392,-98.9646666666667,518,-71.4016398483514,339
"12171","David Johnson","HOU","RB",29,5,"RB","weighted",181.322323803253,18,5.32834878810965,16.7533716109398,164.1,205.262269006568,4,65.6329670597055,23,64.1243333333334,24,64.9940012512398,28
"12175","Amari Cooper","DAL","WR",26,5,"WR","weighted",160.123100384285,11,0.059755346671551,13.3719617954026,150.5,180.415181818182,5,33.5869508981251,46,44.7666666666667,37,38.4963924296344,46
"12176","DeVante Parker","MIA","WR",27,5,"WR","weighted",152.063865971699,19,1.01567106896252,19.0057326936594,134.5,179.060863636364,5,25.5277164855398,57,28.7666666666667,57,37.1420742478163,50
"12177","Kevin White","FA","WR",28,5,"WR","weighted",6.188,179,0.153,NA,6.188,6.188,16,-120.34814948616,580,-99.5453333333333,535,-135.730789388547,561
"12181","Nelson Agholor","LVR","WR",27,5,"WR","weighted",49.8834685463799,100,1.57406049193477,37.7011091504632,21.2,97.0624848484848,12,-76.6526809397797,366,-84.5333333333333,416,-44.8563045400626,275
"12182","Devin Smith","FA","WR",28,5,"WR","weighted",14.3588815977175,151,0.142890063300634,9.48088772214923,8.2,20.1485267080745,14,-112.177267888442,532,-97.5333333333333,498,-121.770262680473,502
"12184","Jamison Crowder","NYJ","WR",27,5,"WR","weighted",107.305004201688,49,0.37570317057596,10.2474504525423,94.26,117.930405232558,9,-19.2311452844718,177,-11.4733333333333,139,-23.9883841559893,203
"12186","Stefon Diggs","BUF","WR",27,5,"WR","weighted",143.76193755143,27,6.03599947110817,12.2671600904579,130,160.044772727273,6,17.2257880652707,73,24.2666666666667,64,18.1259833387253,76
"12187","Tyler Lockett","SEA","WR",28,5,"WR","weighted",150.490804582192,21,3.2527817374629,8.18851251931406,141.572,161.788291814947,5,23.9546550960323,60,35.8386666666667,45,19.8695024263992,70
"12188","Phillip Dorsett","SEA","WR",27,5,"WR","weighted",43.4630900097726,107,0.967804342397393,1.05872980149852,43.031,44.6694459102902,13,-83.0730594763869,397,-62.7023333333333,288,-97.2493434782572,424
"12197","Breshad Perriman","NYJ","WR",27,5,"WR","weighted",109.109899110695,46,0.845265343889906,17.7112780002887,82.3,128.448274021352,9,-17.4262503754646,172,-23.4333333333333,185,-13.4705153671951,156
"12206","Maxx Williams","ARI","TE",26,5,"TE","weighted",34.8097532314924,49,3.40507332310127,6.0671385410491,28.7,42.2604587155963,9,-59.6091320900295,301,-52.8333333333333,267,-68.4028602054474,328
"12207","Nick O'Leary","LVR","TE",28,5,"TE","weighted",16.2739726027397,80,0.428047913455092,8.06101730552664,10.6,20.8547706422018,10,-78.1449127187822,371,-70.9333333333333,318,-89.8085482788419,396
"12208","Jeff Heuerman","FA","TE",28,5,"TE","weighted",25.2429223744292,59,1.89433006916948,2.1920310216783,23.7,26.4885779816514,9,-69.1759629470927,332,-57.8333333333333,272,-84.1747409393924,375
